Dimension,Escenario,Algoritmo,Metrica,N,Media,Desv_std,IC95_inf,IC95_sup
100,Escenario 1,KNN,Valor F2,10,0.9591141861410521,0.003424842393853411,0.956664201482748,0.9615641707993563
100,Escenario 1,KNN,Valor F0.5,10,0.9674107883033948,0.005696069488285076,0.9633360656580613,0.9714855109487283
100,Escenario 1,Naïve Bayes,Exactitud,10,0.6055780173704702,0.008812564307508985,0.5992738886337831,0.6118821461071574
100,Escenario 1,Naïve Bayes,Precisión,10,0.9359468583248391,0.006275728937034609,0.9314574722897315,0.9404362443599468
100,Escenario 1,Naïve Bayes,Recall,10,0.5155416618234041,0.01162162745439019,0.5072280503652878,0.5238552732815204
100,Escenario 1,Naïve Bayes,F1-score,10,0.6648090884139245,0.010601584947203022,0.6572251714077082,0.6723930054201408
100,Escenario 1,Naïve Bayes,Valor F2,10,0.5664058874112784,0.011475182341263697,0.5581970364761828,0.574614738346374
100,Escenario 1,Naïve Bayes,Valor F0.5,10,0.8046457337586649,0.008292099275947167,0.7987139232766217,0.810577544240708
100,Escenario 1,SVM,Exactitud,10,0.9979372566636717,0.0039157329115169,0.9951361100834815,1.0
100,Escenario 1,SVM,Precisión,10,0.9978809804277293,0.005058389143358263,0.9942624268209409,1.0
100,Escenario 1,SVM,Recall,10,0.999431669370221,0.00023701384500355744,0.9992621198793871,0.9996012188610549
100,Escenario 1,SVM,F1-score,10,0.9986498868491411,0.002549512568913097,0.9968260754261101,1.0
100,Escenario 1,SVM,Valor F2,10,0.9991173912766959,0.001037805410983524,0.9983749900088951,0.9998597925444966
100,Escenario 1,SVM,Valor F0.5,10,0.9981870176256459,0.004058825095826016,0.9952835090632197,1.0
100,Escenario 1,Árbol de Decisión,Exactitud,10,0.9233790056903264,0.007233694068753085,0.9182043326825648,0.9285536786980879
100,Escenario 1,Árbol de Decisión,Precisión,10,0.9488931403714534,0.008112612744037408,0.9430897268195406,0.9546965539233663
100,Escenario 1,Árbol de Decisión,Recall,10,0.9502509972090255,0.0032537941116576354,0.9479233731206446,0.9525786212974064
100,Escenario 1,Árbol de Decisión,F1-score,10,0.9495572395819114,0.004814743227495409,0.946112979763647,0.9530014994001758
100,Escenario 1,Árbol de Decisión,Valor F2,10,0.9499699132853084,0.0034616900395395144,0.9474935694091939,0.952446257161423
100,Escenario 1,Árbol de Decisión,Valor F0.5,10,0.9491552427119041,0.0067226093069821715,0.9443461777180118,0.9539643077057964
100,Escenario 2,KNN,Exactitud,10,0.9517258161126086,0.005384281677185613,0.9478741330311427,0.9555774991940746
100,Escenario 2,KNN,Precisión,10,0.9733927003101398,0.006569497705562455,0.9686931647577073,0.9780922358625723
100,Escenario 2,KNN,Recall,10,0.9658099583395281,0.002606413463918033,0.9639454424682994,0.9676744742107568
100,Escenario 2,KNN,F1-score,10,0.969574943063326,0.003531159468407196,0.9670489037515172,0.9721009823751349
100,Escenario 2,KNN,Valor F2,10,0.9673096738371818,0.002468637699429014,0.9655437168105557,0.9690756308638079
100,Escenario 2,KNN,Valor F0.5,10,0.9718592099890129,0.0052771634098591,0.9680841546998344,0.9756342652781913
100,Escenario 2,Naïve Bayes,Exactitud,10,0.5955937406409104,0.009798433880776542,0.5885843632966,0.6026031179852208
100,Escenario 2,Naïve Bayes,Precisión,10,0.9502483156547774,0.005699949515169902,0.9461708174054165,0.9543258139041383
100,Escenario 2,Naïve Bayes,Recall,10,0.5196544749979547,0.01202414441940346,0.5110529202491458,0.5282560297467636
100,Escenario 2,Naïve Bayes,F1-score,10,0.671825882328059,0.010945238133056244,0.6639961306420837,0.6796556340140342
100,Escenario 2,Naïve Bayes,Valor F2,10,0.571420809652493,0.011877345229774464,0.5629242687177761,0.5799173505872098
100,Escenario 2,Naïve Bayes,Valor F0.5,10,0.815093426344397,0.008342848925886466,0.8091253117497942,0.8210615409389997
100,Escenario 2,SVM,Exactitud,10,0.9980196166516923,0.00396253825659525,0.9951849875446639,1.0
100,Escenario 2,SVM,Precisión,10,0.9980981527418422,0.0048576182089476415,0.9946232220095027,1.0
100,Escenario 2,SVM,Recall,10,0.9994410060447423,9.469094415323848e-05,0.9993732682239094,0.9995087438655752
100,Escenario 2,SVM,F1-score,10,0.9987638454710804,0.0024644258810169045,0.9970009013978421,1.0
100,Escenario 2,SVM,Valor F2,10,0.9991687489187504,0.001013044162473908,0.9984440607810714,0.9998934370564294
100,Escenario 2,SVM,Valor F0.5,10,0.9983630702953976,0.0039045083087533433,0.995569953312311,1.0
