Dimension,Escenario,Algoritmo,Tiempo_clasificador_s,Exactitud,Precisión,Recall,F1-score,Sensibilidad,Especificidad,Precisión positiva,Tasa de falsos positivos,Valor F2,Valor F0.5,TP,TN,FP,FN,Repeticion,Fold,k_seleccionado,N_terminos_anadidos,Umbral_similitud,Politicos_test_pct
50,Escenario 1,KNN,7.698185900000681,0.9377058999700509,0.9584475332811276,0.9600451024610256,0.9592456527063433,0.9600451024610256,0.865536902122268,0.9584475332811276,0.13446309787773203,0.9597251627068141,0.9587666216242681,19583.0,5465.0,849.0,815.0,2,4,2,0,,76.36268343815513
50,Escenario 1,Naïve Bayes,0.1020490000009886,0.6093890386343217,0.9421370252041179,0.5204431807039905,0.6704983262805533,0.5204431807039905,0.8967374089325308,0.9421370252041179,0.10326259106746911,0.5716131811328882,0.8107530166488468,10616.0,5662.0,652.0,9782.0,2,4,2,0,,76.36268343815513
50,Escenario 1,SVM,1.2557965999949374,0.9870095837076969,0.9837861313516383,0.9994607314442593,0.9915614892633934,0.9994607314442593,0.9467849223946785,0.9837861313516383,0.05321507760532151,0.9962859795728877,0.9868815955077936,20387.0,5978.0,336.0,11.0,2,4,2,0,,76.36268343815513
50,Escenario 2,Árbol de Decisión,11.913238599998294,0.9206723569931117,0.9455719557195572,0.9562013153598582,0.9508569308193604,0.9562013153598582,0.7762184714583729,0.9455719557195572,0.22378152854162717,0.9540563684426077,0.9476788801671613,20500.0,4093.0,1180.0,939.0,2,4,2,100,0.7831349968910217,80.25980832584607
50,Escenario 2,KNN,8.29007730000012,0.9448188080263552,0.9631605808936111,0.9682821027100145,0.9657145515444734,0.9682821027100145,0.8494215816423288,0.9631605808936111,0.15057841835767116,0.9672534456569346,0.9641805463952959,20759.0,4479.0,794.0,680.0,2,4,2,100,0.7831349968910217,80.25980832584607
50,Escenario 2,Naïve Bayes,0.11001170000236016,0.600104821802935,0.9570833687430951,0.525304351882084,0.6783111485876047,0.525304351882084,0.9042290915987105,0.9570833687430951,0.09577090840128959,0.5774022538273023,0.8219597997284949,11262.0,4768.0,505.0,10177.0,2,4,2,100,0.7831349968910217,80.25980832584607
50,Escenario 2,SVM,1.1678236000007018,0.9871593291404612,0.9845644983461963,0.9996734922337795,0.9920614715208184,0.9996734922337795,0.9362791579745875,0.9845644983461963,0.06372084202541248,0.9966147092742086,0.9875496493443061,21432.0,4937.0,336.0,7.0,2,4,2,100,0.7831349968910217,80.25980832584607
50,Escenario 1,Árbol de Decisión,12.552991399999883,0.9225441749026655,0.9451513821851689,0.9535661583866207,0.9493401238951054,0.9535661583866207,0.8237229708555311,0.9451513821851689,0.17627702914446883,0.951871237638833,0.9468224353839843,19386.0,5257.0,1125.0,944.0,2,5,2,0,,76.10811620245582
50,Escenario 1,KNN,7.812880099998438,0.9514076070679844,0.9742350244194159,0.961583866207575,0.9678681057530448,0.961583866207575,0.9189909119398307,0.9742350244194159,0.08100908806016922,0.9640877438699623,0.9716782313060421,19549.0,5865.0,517.0,781.0,2,5,2,0,,76.10811620245582
50,Escenario 1,Naïve Bayes,0.10036250000121072,0.6115229110512129,0.9373407153528429,0.5246433841613379,0.6727427544230344,0.5246433841613379,0.88827953619555,0.9373407153528429,0.11172046380445001,0.5753028619510459,0.8099201166357866,10666.0,5669.0,713.0,9664.0,2,5,2,0,,76.10811620245582
50,Escenario 1,SVM,1.1138083999976516,0.9994010182689428,0.9997539854359379,0.9994589276930644,0.9996064347911645,0.9994589276930644,0.9992165465371357,0.9997539854359379,0.0007834534628643058,0.9995179253079375,0.9996949599511936,20319.0,6377.0,5.0,11.0,2,5,2,0,,76.10811620245582
50,Escenario 2,Árbol de Decisión,9.45179300000018,0.9277852650494159,0.9503526354862658,0.9597488402605314,0.9550276268855058,0.9597488402605314,0.8007819772854217,0.9503526354862658,0.19921802271457828,0.9578547644880093,0.9522171289365777,20482.0,4301.0,1070.0,859.0,2,5,2,100,0.7965948581695557,79.89293201557352
50,Escenario 2,KNN,7.662466299996595,0.9570230607966457,0.9772179420522759,0.9687924652078159,0.9729869640924279,0.9687924652078159,0.910258797244461,0.9772179420522759,0.08974120275553901,0.9704659175186113,0.975521142975776,20675.0,4889.0,482.0,666.0,2,5,2,100,0.7965948581695557,79.89293201557352
50,Escenario 2,Naïve Bayes,0.10116199999902165,0.6041479484875711,0.9520530691073977,0.531277822032707,0.681984962406015,0.531277822032707,0.8936883261962391,0.9520530691073977,0.10631167380376094,0.5827927585249761,0.8218681589515345,11338.0,4800.0,571.0,10003.0,2,5,2,100,0.7965948581695557,79.89293201557352
50,Escenario 2,SVM,1.193924999999581,0.9997005091344714,0.9997189037245257,0.9999062836793028,0.9998125849224571,0.9999062836793028,0.9988828895922547,0.9997189037245257,0.0011171104077452988,0.9998688020691788,0.9997563740969444,21339.0,5365.0,6.0,2.0,2,5,2,100,0.7965948581695557,79.89293201557352
